label,ext_thumb,dirz_thumb,z_thumb,r_thumb,ext_index,dirz_index,z_index,r_index,ext_middle,dirz_middle,z_middle,r_middle,ext_ring,dirz_ring,z_ring,r_ring,ext_pinky,dirz_pinky,z_pinky,r_pinky,theta_index_middle,theta_middle_ring,theta_ring_pinky,theta_thumb_index,delta_index_middle,delta_index_ring,delta_thumb_index,ang_index_PIP,ang_index_DIP
Q,0.167128,0.592079,0.849625,0.979559,0.155066,0.760004,1.248049,1.566078,0.449034,0.371228,0.08394,0.062452,0.43562,0.145101,0.003755,0.414621,0.380572,0.377175,0.194562,0.425093,1.885629,0.302715,0.898928,0.357005,1.594254,1.843025,0.887989,2.91584,2.712402
Q,0.174008,0.787032,1.670199,1.718266,0.2068,0.930246,1.812521,1.934713,0.34277,0.942006,1.092904,0.936621,0.405835,0.703025,0.665488,0.686893,0.358616,0.532233,0.526142,0.493965,0.712401,0.466733,0.830445,0.293548,1.405524,1.893456,0.631506,3.015743,2.273277
R,0.165225,0.363524,0.979486,0.914348,0.130644,0.266496,0.475234,1.465208,0.094584,0.454892,0.610931,1.481143,0.383128,0.779436,0.505899,0.427439,0.382933,0.69229,0.441058,0.574873,0.231322,1.775453,0.408869,0.213772,0.20936,1.678434,1.148093,2.874104,2.616989
R,0.162433,0.186313,0.726664,0.763424,0.126109,-0.026449,0.084352,1.453668,0.06793,0.082556,0.12058,1.679662,0.352842,0.820792,0.627426,0.534192,0.357903,0.700242,0.518849,0.641695,0.388507,2.056568,0.321578,0.22708,0.27942,1.782507,1.14333,2.957677,2.626075
R,0.201251,0.156541,0.661776,0.733431,0.110634,0.08024,0.217463,1.503527,0.083313,0.322326,0.460481,1.576203,0.354208,0.83758,0.538027,0.481185,0.358169,0.783011,0.457408,0.657178,0.279739,1.819484,0.232948,0.37962,0.282462,1.784695,1.153582,2.983724,2.610659
R,0.23516,0.191537,0.720506,0.698853,0.126804,0.396358,0.632414,1.4074,0.118631,0.485111,0.659599,1.509301,0.386368,0.665479,0.430598,0.411087,0.432335,0.574475,0.314697,0.610784,0.411064,1.880347,0.229616,0.288752,0.233973,1.624061,0.95877,2.94261,2.652602
S,0.333683,0.085438,0.477498,0.405457,0.426691,0.216297,0.204332,0.373419,0.484137,0.472568,0.198966,0.18556,0.458921,0.323798,0.213462,0.352846,0.414914,0.489792,0.310534,0.611004,0.371656,0.303211,0.208198,1.896409,0.269535,0.458925,0.638029,1.415722,2.163317
S,0.355152,0.034585,0.416642,0.304269,0.436566,0.352318,0.237643,0.353344,0.50209,0.522726,0.185149,0.113219,0.463295,0.372544,0.230445,0.339924,0.42432,0.598986,0.341469,0.659458,0.35483,0.292422,0.261832,2.035264,0.261025,0.449106,0.460632,1.58852,1.889863
S,0.274578,0.211408,0.619054,0.495543,0.391385,0.75119,0.434027,0.490709,0.465419,0.653239,0.30217,0.224579,0.436356,0.475139,0.303977,0.373819,0.374277,0.695459,0.42019,0.592102,0.18027,0.258056,0.351246,1.857913,0.36703,0.583706,0.538157,1.602997,2.074775
T,0.166766,0.06436,0.47726,0.538888,0.294755,0.929144,0.704954,0.623067,0.417205,0.703309,0.407083,0.376137,0.406701,0.444942,0.362287,0.510576,0.429726,0.606835,0.363134,0.620619,0.564131,0.336634,0.208849,1.719787,0.374471,0.622924,0.557934,1.766926,2.410425
T,0.131278,-0.000691,0.351059,0.641559,0.346366,0.655318,0.446424,0.411671,0.428213,0.653719,0.39328,0.412979,0.41327,0.499137,0.386892,0.576774,0.41067,0.728092,0.455532,0.659742,0.447821,0.242918,0.383246,2.037616,0.197146,0.44769,0.782558,1.546996,2.471076
T,0.123617,-0.123134,0.153966,0.672131,0.350762,0.637745,0.411194,0.351863,0.416817,0.832937,0.433677,0.373262,0.401799,0.791788,0.453979,0.469479,0.36603,0.883184,0.461901,0.620426,0.560831,0.154598,0.378637,2.001353,0.116489,0.344146,0.81913,1.535813,2.422522
U,0.202107,0.346515,0.983884,0.863451,0.116735,0.399581,0.624869,1.491166,0.08368,0.438542,0.605816,1.573396,0.335773,0.762942,0.619559,0.538062,0.353521,0.631071,0.480939,0.572585,0.164064,1.765887,0.396937,0.629394,0.176096,1.741273,1.417126,2.862611,2.56001
U,0.213952,0.136507,0.738418,0.770796,0.105,0.290565,0.476316,1.463076,0.078634,0.333299,0.465468,1.616922,0.340006,0.867977,0.589425,0.475393,0.366554,0.625054,0.445357,0.572561,0.203186,1.739709,0.531005,0.715513,0.186706,1.624877,1.485891,2.945922,2.600326
U,0.197623,0.341546,1.003423,0.867723,0.101501,0.512335,0.753129,1.512635,0.09468,0.613045,0.870796,1.572355,0.338641,0.747434,0.619001,0.52423,0.36807,0.65715,0.507522,0.581508,0.149791,1.556705,0.297042,0.771799,0.28087,1.703039,1.475104,2.978807,2.619071
V,0.207991,0.323514,1.003644,0.956126,0.094634,0.242839,0.459972,1.673364,0.064609,0.08641,0.142652,1.879304,0.282869,0.955027,0.820703,0.645779,0.285912,0.840034,0.71416,0.601872,0.340901,1.633722,0.288681,1.003521,0.939585,1.651013,1.722487,2.942463,2.492307
V,0.232358,0.140816,0.708105,0.759998,0.140755,0.128742,0.304642,1.747058,0.071148,0.065875,0.106778,1.889628,0.271388,0.992383,0.767092,0.678471,0.292125,0.880313,0.700721,0.656157,0.405609,1.600462,0.523027,1.188277,0.980237,1.85449,1.986503,2.829029,2.316739
V,0.214148,0.18466,0.776628,0.768963,0.086923,0.298609,0.484938,1.526639,0.078387,0.171571,0.253968,1.67088,0.282014,0.986262,0.817223,0.679831,0.301251,0.870341,0.671787,0.609613,0.380464,1.561039,0.424237,1.029599,0.892493,1.614079,1.561536,2.984671,2.561913
W,0.240998,0.147142,0.70368,0.825008,0.073633,0.087645,0.233591,1.572137,0.057941,-0.285881,-0.436468,1.83374,0.043067,0.089491,0.186963,1.624777,0.297159,0.899028,0.741844,0.704446,0.420358,0.458956,1.860491,1.202452,0.920273,1.247682,2.028172,2.962273,2.708434
W,0.253149,0.247393,0.917332,0.909583,0.086225,0.020709,0.172759,1.71536,0.05271,-0.151969,-0.244883,1.930407,0.040301,0.250087,0.409986,1.728548,0.284012,0.895189,0.759092,0.685554,0.336917,0.464556,1.681442,1.146678,0.929432,1.403649,2.116112,2.797246,2.687454
W,0.26857,0.086502,0.712471,0.740434,0.103383,0.14822,0.325704,1.635011,0.070486,-0.099052,-0.151084,1.840196,0.037461,0.206952,0.332489,1.665269,0.306713,0.926714,0.620239,0.589048,0.347824,0.347361,1.630948,1.026542,0.892746,1.217515,1.941228,2.83709,2.63436
W,0.255404,0.393154,1.010484,0.885756,0.075065,0.042462,0.172506,1.536617,0.084957,0.197916,0.253445,1.524951,0.061741,0.458403,0.652397,1.500339,0.265118,0.808039,0.752971,0.618888,0.358706,0.279796,1.321209,0.988344,0.812554,1.13381,1.690893,2.985239,2.725002
